source_file,raw_variable,clean_variable,definition,unit,note
STK_LISTEDCOINFOANL.xlsx,Symbol,stkcd,股票代码,,
STK_LISTEDCOINFOANL.xlsx,ShortName,short_name,股票简称,,
STK_LISTEDCOINFOANL.xlsx,EndDate,end_date,信息截止日期,,
STK_LISTEDCOINFOANL.xlsx,ListedCoID,listed_co_id,上市公司ID,,
STK_LISTEDCOINFOANL.xlsx,SecurityID,security_id,证券ID,,
STK_LISTEDCOINFOANL.xlsx,IndustryName,industry_name,行业名称,,
STK_LISTEDCOINFOANL.xlsx,IndustryCode,industry_code,行业代码,,
STK_LISTEDCOINFOANL.xlsx,IndustryNameC,industry_name_c,行业名称(C类分类),,
STK_LISTEDCOINFOANL.xlsx,IndustryCodeC,industry_code_c,行业代码(C类分类),,
STK_LISTEDCOINFOANL.xlsx,IndustryNameD,industry_name_d,行业名称(D类分类),,
STK_LISTEDCOINFOANL.xlsx,IndustryCodeD,industry_code_d,行业代码(D类分类),,
STK_LISTEDCOINFOANL.xlsx,RegisterAddress,register_address,注册地址,,
STK_LISTEDCOINFOANL.xlsx,OfficeAddress,office_address,办公地址,,
STK_LISTEDCOINFOANL.xlsx,Zipcode,zipcode,邮政编码,,
STK_LISTEDCOINFOANL.xlsx,Secretary,secretary,董事会秘书,,
STK_LISTEDCOINFOANL.xlsx,SecretaryTel,secretary_tel,董事会秘书电话,,
STK_LISTEDCOINFOANL.xlsx,SecretaryEmail,secretary_email,董事会秘书邮箱,,
STK_LISTEDCOINFOANL.xlsx,SecurityConsultant,security_consultant,证券事务代表,,
STK_LISTEDCOINFOANL.xlsx,SocialCreditCode,social_credit_code,统一社会信用代码,,
STK_LISTEDCOINFOANL.xlsx,Sigchange,sigchange,是否发生过重大变更,,
STK_LISTEDCOINFOANL.xlsx,Lng,lng,经度(办公地),,
STK_LISTEDCOINFOANL.xlsx,Lat,lat,纬度(办公地),,
STK_LISTEDCOINFOANL.xlsx,ISIN,isin,国际证券识别码,,
STK_LISTEDCOINFOANL.xlsx,FullName,full_name,公司全称,,
STK_LISTEDCOINFOANL.xlsx,LegalRepresentative,legal_representative,法定代表人,,
STK_LISTEDCOINFOANL.xlsx,EstablishDate,establish_date,成立日期,,
STK_LISTEDCOINFOANL.xlsx,Crcd,currency_code,注册资本币种,,
STK_LISTEDCOINFOANL.xlsx,RegisterCapital,register_capital,注册资本,元,
STK_LISTEDCOINFOANL.xlsx,Website,website,公司网址,,
STK_LISTEDCOINFOANL.xlsx,BusinessScope,business_scope,经营范围,,
STK_LISTEDCOINFOANL.xlsx,RegisterLongitude,register_longitude,注册地经度,,
STK_LISTEDCOINFOANL.xlsx,RegisterLatitude,register_latitude,注册地纬度,,
STK_LISTEDCOINFOANL.xlsx,EMAIL,email,电子邮箱,,
STK_LISTEDCOINFOANL.xlsx,LISTINGDATE,listing_date,上市日期,,
STK_LISTEDCOINFOANL.xlsx,PROVINCECODE,province_code,省份代码,,
STK_LISTEDCOINFOANL.xlsx,PROVINCE,province,省份,,
STK_LISTEDCOINFOANL.xlsx,CITYCODE,city_code,城市代码,,
