年份,行业代码,行业名称,指标,均值,样本量
2001,C,制造业,SLoan（短期借款比率）,,0
2001,C,制造业,LLoan（长期借款比率）,,0
2001,C,制造业,Lev（总负债率）,,0
2001,C,制造业,Cash（现金比率）,,0
2001,C,制造业,TA（总资产，元）,,0
2001,C,制造业,TE（净资产，元）,,0
2001,D,电力热力燃气,SLoan（短期借款比率）,,0
2001,D,电力热力燃气,LLoan（长期借款比率）,,0
2001,D,电力热力燃气,Lev（总负债率）,,0
2001,D,电力热力燃气,Cash（现金比率）,,0
2001,D,电力热力燃气,TA（总资产，元）,,0
2001,D,电力热力燃气,TE（净资产，元）,,0
2001,G,交通运输,SLoan（短期借款比率）,,0
2001,G,交通运输,LLoan（长期借款比率）,,0
2001,G,交通运输,Lev（总负债率）,,0
2001,G,交通运输,Cash（现金比率）,,0
2001,G,交通运输,TA（总资产，元）,,0
2001,G,交通运输,TE（净资产，元）,,0
2001,E,建筑业,SLoan（短期借款比率）,,0
2001,E,建筑业,LLoan（长期借款比率）,,0
2001,E,建筑业,Lev（总负债率）,,0
2001,E,建筑业,Cash（现金比率）,,0
2001,E,建筑业,TA（总资产，元）,,0
2001,E,建筑业,TE（净资产，元）,,0
2001,K,房地产业,SLoan（短期借款比率）,,0
2001,K,房地产业,LLoan（长期借款比率）,,0
2001,K,房地产业,Lev（总负债率）,,0
2001,K,房地产业,Cash（现金比率）,,0
2001,K,房地产业,TA（总资产，元）,,0
2001,K,房地产业,TE（净资产，元）,,0
2001,F,批发零售,SLoan（短期借款比率）,,0
2001,F,批发零售,LLoan（长期借款比率）,,0
2001,F,批发零售,Lev（总负债率）,,0
2001,F,批发零售,Cash（现金比率）,,0
2001,F,批发零售,TA（总资产，元）,,0
2001,F,批发零售,TE（净资产，元）,,0
2001,J,金融业,SLoan（短期借款比率）,,0
2001,J,金融业,LLoan（长期借款比率）,,0
2001,J,金融业,Lev（总负债率）,,0
2001,J,金融业,Cash（现金比率）,,0
2001,J,金融业,TA（总资产，元）,,0
2001,J,金融业,TE（净资产，元）,,0
2003,C,制造业,SLoan（短期借款比率）,,0
2003,C,制造业,LLoan（长期借款比率）,,0
2003,C,制造业,Lev（总负债率）,,0
2003,C,制造业,Cash（现金比率）,,0
2003,C,制造业,TA（总资产，元）,,0
2003,C,制造业,TE（净资产，元）,,0
2003,D,电力热力燃气,SLoan（短期借款比率）,,0
2003,D,电力热力燃气,LLoan（长期借款比率）,,0
2003,D,电力热力燃气,Lev（总负债率）,,0
2003,D,电力热力燃气,Cash（现金比率）,,0
2003,D,电力热力燃气,TA（总资产，元）,,0
2003,D,电力热力燃气,TE（净资产，元）,,0
2003,G,交通运输,SLoan（短期借款比率）,,0
2003,G,交通运输,LLoan（长期借款比率）,,0
2003,G,交通运输,Lev（总负债率）,,0
2003,G,交通运输,Cash（现金比率）,,0
2003,G,交通运输,TA（总资产，元）,,0
2003,G,交通运输,TE（净资产，元）,,0
2003,E,建筑业,SLoan（短期借款比率）,,0
2003,E,建筑业,LLoan（长期借款比率）,,0
2003,E,建筑业,Lev（总负债率）,,0
2003,E,建筑业,Cash（现金比率）,,0
2003,E,建筑业,TA（总资产，元）,,0
2003,E,建筑业,TE（净资产，元）,,0
2003,K,房地产业,SLoan（短期借款比率）,,0
2003,K,房地产业,LLoan（长期借款比率）,,0
2003,K,房地产业,Lev（总负债率）,,0
2003,K,房地产业,Cash（现金比率）,,0
2003,K,房地产业,TA（总资产，元）,,0
2003,K,房地产业,TE（净资产，元）,,0
2003,F,批发零售,SLoan（短期借款比率）,,0
2003,F,批发零售,LLoan（长期借款比率）,,0
2003,F,批发零售,Lev（总负债率）,,0
2003,F,批发零售,Cash（现金比率）,,0
2003,F,批发零售,TA（总资产，元）,,0
2003,F,批发零售,TE（净资产，元）,,0
2003,J,金融业,SLoan（短期借款比率）,,0
2003,J,金融业,LLoan（长期借款比率）,,0
2003,J,金融业,Lev（总负债率）,,0
2003,J,金融业,Cash（现金比率）,,0
2003,J,金融业,TA（总资产，元）,,0
2003,J,金融业,TE（净资产，元）,,0
2005,C,制造业,SLoan（短期借款比率）,,0
2005,C,制造业,LLoan（长期借款比率）,,0
2005,C,制造业,Lev（总负债率）,,0
2005,C,制造业,Cash（现金比率）,,0
2005,C,制造业,TA（总资产，元）,,0
2005,C,制造业,TE（净资产，元）,,0
2005,D,电力热力燃气,SLoan（短期借款比率）,,0
2005,D,电力热力燃气,LLoan（长期借款比率）,,0
2005,D,电力热力燃气,Lev（总负债率）,,0
2005,D,电力热力燃气,Cash（现金比率）,,0
2005,D,电力热力燃气,TA（总资产，元）,,0
2005,D,电力热力燃气,TE（净资产，元）,,0
2005,G,交通运输,SLoan（短期借款比率）,,0
2005,G,交通运输,LLoan（长期借款比率）,,0
2005,G,交通运输,Lev（总负债率）,,0
2005,G,交通运输,Cash（现金比率）,,0
2005,G,交通运输,TA（总资产，元）,,0
2005,G,交通运输,TE（净资产，元）,,0
2005,E,建筑业,SLoan（短期借款比率）,,0
2005,E,建筑业,LLoan（长期借款比率）,,0
2005,E,建筑业,Lev（总负债率）,,0
2005,E,建筑业,Cash（现金比率）,,0
2005,E,建筑业,TA（总资产，元）,,0
2005,E,建筑业,TE（净资产，元）,,0
2005,K,房地产业,SLoan（短期借款比率）,,0
2005,K,房地产业,LLoan（长期借款比率）,,0
2005,K,房地产业,Lev（总负债率）,,0
2005,K,房地产业,Cash（现金比率）,,0
2005,K,房地产业,TA（总资产，元）,,0
2005,K,房地产业,TE（净资产，元）,,0
2005,F,批发零售,SLoan（短期借款比率）,,0
2005,F,批发零售,LLoan（长期借款比率）,,0
2005,F,批发零售,Lev（总负债率）,,0
2005,F,批发零售,Cash（现金比率）,,0
2005,F,批发零售,TA（总资产，元）,,0
2005,F,批发零售,TE（净资产，元）,,0
2005,J,金融业,SLoan（短期借款比率）,,0
2005,J,金融业,LLoan（长期借款比率）,,0
2005,J,金融业,Lev（总负债率）,,0
2005,J,金融业,Cash（现金比率）,,0
2005,J,金融业,TA（总资产，元）,,0
2005,J,金融业,TE（净资产，元）,,0
2007,C,制造业,SLoan（短期借款比率）,,0
2007,C,制造业,LLoan（长期借款比率）,,0
2007,C,制造业,Lev（总负债率）,,0
2007,C,制造业,Cash（现金比率）,,0
2007,C,制造业,TA（总资产，元）,,0
2007,C,制造业,TE（净资产，元）,,0
2007,D,电力热力燃气,SLoan（短期借款比率）,,0
2007,D,电力热力燃气,LLoan（长期借款比率）,,0
2007,D,电力热力燃气,Lev（总负债率）,,0
2007,D,电力热力燃气,Cash（现金比率）,,0
2007,D,电力热力燃气,TA（总资产，元）,,0
2007,D,电力热力燃气,TE（净资产，元）,,0
2007,G,交通运输,SLoan（短期借款比率）,,0
2007,G,交通运输,LLoan（长期借款比率）,,0
2007,G,交通运输,Lev（总负债率）,,0
2007,G,交通运输,Cash（现金比率）,,0
2007,G,交通运输,TA（总资产，元）,,0
2007,G,交通运输,TE（净资产，元）,,0
2007,E,建筑业,SLoan（短期借款比率）,,0
2007,E,建筑业,LLoan（长期借款比率）,,0
2007,E,建筑业,Lev（总负债率）,,0
2007,E,建筑业,Cash（现金比率）,,0
2007,E,建筑业,TA（总资产，元）,,0
2007,E,建筑业,TE（净资产，元）,,0
2007,K,房地产业,SLoan（短期借款比率）,,0
2007,K,房地产业,LLoan（长期借款比率）,,0
2007,K,房地产业,Lev（总负债率）,,0
2007,K,房地产业,Cash（现金比率）,,0
2007,K,房地产业,TA（总资产，元）,,0
2007,K,房地产业,TE（净资产，元）,,0
2007,F,批发零售,SLoan（短期借款比率）,,0
2007,F,批发零售,LLoan（长期借款比率）,,0
2007,F,批发零售,Lev（总负债率）,,0
2007,F,批发零售,Cash（现金比率）,,0
2007,F,批发零售,TA（总资产，元）,,0
2007,F,批发零售,TE（净资产，元）,,0
2007,J,金融业,SLoan（短期借款比率）,,0
2007,J,金融业,LLoan（长期借款比率）,,0
2007,J,金融业,Lev（总负债率）,,0
2007,J,金融业,Cash（现金比率）,,0
2007,J,金融业,TA（总资产，元）,,0
2007,J,金融业,TE（净资产，元）,,0
