年份,指标,均值,中位数,标准差,最小值,最大值,样本量
2000,lev,,,,,,0
2000,sl,,,,,,0
2000,ll,,,,,,0
2000,sdr,,,,,,0
2000,cash,,,,,,0
2000,ta,,,,,,0
2000,te,,,,,,0
2000,sloan,,,,,,0
2000,lloan,,,,,,0
2000,top1,,,,,,0
2000,hhi5_approx,,,,,,0
2000,size,,,,,,0
2000,age,4.65377358490566,4.0,2.4121847806728955,1.0,11.0,1060
2001,lev,,,,,,0
2001,sl,,,,,,0
2001,ll,,,,,,0
2001,sdr,,,,,,0
2001,cash,,,,,,0
2001,ta,,,,,,0
2001,te,,,,,,0
2001,sloan,,,,,,0
2001,lloan,,,,,,0
2001,top1,,,,,,0
2001,hhi5_approx,,,,,,0
2001,size,,,,,,0
2001,age,5.366110623353819,5.0,2.5829527438633453,1.0,12.0,1139
2002,lev,,,,,,0
2002,sl,,,,,,0
2002,ll,,,,,,0
2002,sdr,,,,,,0
2002,cash,,,,,,0
2002,ta,,,,,,0
2002,te,,,,,,0
2002,sloan,,,,,,0
2002,lloan,,,,,,0
2002,top1,,,,,,0
2002,hhi5_approx,,,,,,0
2002,size,,,,,,0
2002,age,6.057213930348259,6.0,2.7940440862404974,1.0,13.0,1206
2003,lev,,,,,,0
2003,sl,,,,,,0
2003,ll,,,,,,0
2003,sdr,,,,,,0
2003,cash,,,,,,0
2003,ta,,,,,,0
2003,te,,,,,,0
2003,sloan,,,,,,0
2003,lloan,,,,,,0
2003,top1,0.4255279468675654,0.412759,0.1718188112418009,0.0106059999999999,0.8499840000000001,1261
2003,hhi5_approx,7.535410650061455e-06,3.9312260929e-06,8.658428407816018e-06,4.652648999999999e-08,4.37526685764e-05,1266
2003,size,,,,,,0
2003,age,6.7330173775671405,7.0,3.027640763985261,1.0,14.0,1266
2004,lev,,,,,,0
2004,sl,,,,,,0
2004,ll,,,,,,0
2004,sdr,,,,,,0
2004,cash,,,,,,0
2004,ta,,,,,,0
2004,te,,,,,,0
2004,sloan,,,,,,0
2004,lloan,,,,,,0
2004,top1,0.41844191863905317,0.39854049999999996,0.16806305755280182,0.022448,0.8499840000000001,1352
2004,hhi5_approx,7.345370696282673e-06,3.6477147169e-06,8.851785658550679e-06,6.425718009999999e-08,4.921443409e-05,1362
2004,size,,,,,,0
2004,age,7.232745961820852,8.0,3.40346233465441,1.0,15.0,1362
2005,lev,,,,,,0
2005,sl,,,,,,0
2005,ll,,,,,,0
2005,sdr,,,,,,0
2005,cash,,,,,,0
2005,ta,,,,,,0
2005,te,,,,,,0
2005,sloan,,,,,,0
2005,lloan,,,,,,0
2005,top1,0.4033815133333334,0.377029,0.1622435016656776,0.04238,0.849785,1350
2005,hhi5_approx,6.21256390603074e-06,2.97826710025e-06,7.349521477915872e-06,6.31919044e-08,5.21545396761e-05,1350
2005,size,,,,,,0
2005,age,8.13113553113553,9.0,3.461087282328988,1.0,16.0,1365
2006,lev,,,,,,0
2006,sl,,,,,,0
2006,ll,,,,,,0
2006,sdr,,,,,,0
2006,cash,,,,,,0
2006,ta,,,,,,0
2006,te,,,,,,0
2006,sloan,,,,,,0
2006,lloan,,,,,,0
2006,top1,0.3607775673758865,0.33537399999999995,0.1499390764624145,0.045385,0.837521,1410
2006,hhi5_approx,4.446387191682852e-06,1.9669221009000003e-06,6.25685856833651e-06,3.08458969e-08,3.765503677689999e-05,1417
2006,size,,,,,,0
2006,age,8.76076217360621,9.0,3.769665795483944,1.0,17.0,1417
2007,lev,,,,,,0
2007,sl,,,,,,0
2007,ll,,,,,,0
2007,sdr,,,,,,0
2007,cash,,,,,,0
2007,ta,,,,,,0
2007,te,,,,,,0
2007,sloan,,,,,,0
2007,lloan,,,,,,0
2007,top1,0.35777364153439145,0.33898599999999995,0.15238597270656,0.008225,0.8628629999999999,1512
2007,hhi5_approx,4.292237118097296e-06,1.9975158378499998e-06,5.932544300058702e-06,1.93515921e-08,3.490682724e-05,1516
2007,size,,,,,,0
2007,age,9.034300791556728,10.0,4.316230506056392,1.0,18.0,1516
2008,lev,,,,,,0
2008,sl,,,,,,0
2008,ll,,,,,,0
2008,sdr,,,,,,0
2008,cash,,,,,,0
2008,ta,,,,,,0
2008,te,,,,,,0
2008,sloan,,,,,,0
2008,lloan,,,,,,0
2008,top1,0.3638560800508259,0.34757150000000003,0.15488212049861871,0.037351,0.8641880000000001,1574
2008,hhi5_approx,4.494887288060089e-06,2.1322721713e-06,6.007489897503277e-06,1.640961e-08,3.34309458025e-05,1576
2008,size,,,,,,0
2008,age,9.581218274111675,10.0,4.635515351970892,1.0,19.0,1576
2009,lev,,,,,,0
2009,sl,,,,,,0
2009,ll,,,,,,0
2009,sdr,,,,,,0
2009,cash,,,,,,0
2009,ta,,,,,,0
2009,te,,,,,,0
2009,sloan,,,,,,0
2009,lloan,,,,,,0
2009,top1,0.36271956047904186,0.339747,0.15656649136082654,0.036355,0.862003,1670
2009,hhi5_approx,4.741213130383205e-06,2.0545495569e-06,6.956862828797836e-06,1.52893225e-08,4.17666205441e-05,1679
2009,size,,,,,,0
2009,age,10.027397260273972,11.0,5.026671397981188,1.0,20.0,1679
2010,lev,,,,,,0
2010,sl,,,,,,0
2010,ll,,,,,,0
2010,sdr,,,,,,0
2010,cash,,,,,,0
2010,ta,,,,,,0
2010,te,,,,,,0
2010,sloan,,,,,,0
2010,lloan,,,,,,0
2010,top1,0.3624579196029777,0.3423859999999999,0.15758154842189548,0.0183739999999999,0.864938,2015
2010,hhi5_approx,4.674853690182426e-06,2.17620032605e-06,6.51649091088855e-06,1.42062561e-08,3.51251802225e-05,2020
2010,size,,,,,,0
2010,age,9.297524752475248,10.0,5.9404418808163735,1.0,21.0,2020
2011,lev,0.4384172980211071,0.4370665050582121,0.24248316353732222,0.0319951131278404,1.0,2301
2011,sl,0.35534431942225186,0.335174843647193,0.21021611880484575,0.0266097053868001,1.0,2257
2011,ll,0.07920407482194064,0.0279673548080049,0.11454151041563175,0.0,1.0,2255
2011,sdr,0.8437474659104177,0.912515706574774,0.17939068718054565,0.2479924960246,1.0,2257
2011,cash,0.0030115824130374368,0.0,0.020974618140069807,0.0,0.3694289775811468,2212
2011,ta,44766431408.13041,2338016070.84,567749295310.3245,6683502.72,15476868000000.0,2295
2011,te,6473959703.166176,1328466176.115,44567446943.826294,790820.2,1082566000000.0,2262
2011,sloan,0.10652901239106777,0.069109730088639,0.11943542174007135,0.0,0.5261680404748951,2301
2011,lloan,0.04970689094202594,0.0010974167400968,0.09090897323600967,0.0,0.7975434028243636,2247
2011,top1,0.36203831721132895,0.343301,0.15670228783825188,0.021969,0.894086,2295
2011,hhi5_approx,4.678661268896219e-06,2.2694518609e-06,6.529627416479895e-06,1.5038116899999995e-08,3.576877249e-05,2301
2011,size,21.805468638544657,21.57256857372801,1.463061050291577,15.715152767365977,30.370367638038157,2295
2011,age,9.159495871360278,9.0,6.33322724982429,1.0,22.0,2301
2012,lev,0.43629563696329127,0.43406615058089715,0.2359415413351135,0.0384614770174787,1.0,2456
